file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,184,css,c9f552e5,dallasplunkett,2025-02-07,14:18:30,-08:00,2025-02-07T14:18:30-08:00,0,11
style.css,185,css,c9f552e5,dallasplunkett,2025-02-07,14:18:30,-08:00,2025-02-07T14:18:30-08:00,1,30
style.css,186,css,c9f552e5,dallasplunkett,2025-02-07,14:18:30,-08:00,2025-02-07T14:18:30-08:00,0,0
style.css,187,css,c9f552e5,dallasplunkett,2025-02-07,14:18:30,-08:00,2025-02-07T14:18:30-08:00,0,0
style.css,188,css,c9f552e5,dallasplunkett,2025-02-07,14:18:30,-08:00,2025-02-07T14:18:30-08:00,0,25
style.css,189,css,c9f552e5,dallasplunkett,2025-02-07,14:18:30,-08:00,2025-02-07T14:18:30-08:00,1,42
style.css,190,css,c9f552e5,dallasplunkett,2025-02-07,14:18:30,-08:00,2025-02-07T14:18:30-08:00,0,0
style.css,191,css,c9f552e5,dallasplunkett,2025-02-07,14:18:30,-08:00,2025-02-07T14:18:30-08:00,0,0
style.css,192,css,e3866b9e,dallasplunkett,2025-02-07,11:27:54,-08:00,2025-02-07T11:27:54-08:00,0,12
style.css,193,css,e3866b9e,dallasplunkett,2025-02-07,11:27:54,-08:00,2025-02-07T11:27:54-08:00,0,0
style.css,194,css,e3866b9e,dallasplunkett,2025-02-07,11:27:54,-08:00,2025-02-07T11:27:54-08:00,0,8
style.css,195,css,e3866b9e,dallasplunkett,2025-02-07,11:27:54,-08:00,2025-02-07T11:27:54-08:00,1,12
style.css,196,css,e3866b9e,dallasplunkett,2025-02-07,11:27:54,-08:00,2025-02-07T11:27:54-08:00,0,0
style.css,197,css,e3866b9e,dallasplunkett,2025-02-07,11:27:54,-08:00,2025-02-07T11:27:54-08:00,0,0
style.css,198,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,0,4
style.css,199,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,0,0
style.css,200,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,0,1
style.css,201,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,1,10
style.css,202,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,1,12
style.css,203,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,1,18
style.css,204,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,0,0
style.css,205,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,0,0
style.css,206,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,0,2
style.css,207,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,0,4
style.css,208,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,1,11
style.css,209,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,0,0
style.css,210,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,0,0
style.css,211,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,0,23
style.css,212,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,1,3
style.css,213,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,2,8
style.css,214,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,1,0
style.css,215,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,0,0
style.css,216,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,1,4
style.css,217,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,2,8
style.css,218,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,1,0
style.css,219,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,0,0
style.css,220,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,0,0
style.css,221,css,39933b3e,dallasplunkett,2025-01-30,16:31:17,-08:00,2025-01-30T16:31:17-08:00,0,0
style.css,222,css,39933b3e,dallasplunkett,2025-01-30,16:31:17,-08:00,2025-01-30T16:31:17-08:00,1,17
style.css,223,css,39933b3e,dallasplunkett,2025-01-30,16:31:17,-08:00,2025-01-30T16:31:17-08:00,0,0
style.css,224,css,39933b3e,dallasplunkett,2025-01-30,16:31:17,-08:00,2025-01-30T16:31:17-08:00,0,0
style.css,225,css,39933b3e,dallasplunkett,2025-01-30,16:31:17,-08:00,2025-01-30T16:31:17-08:00,0,7
style.css,226,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,0,0
style.css,227,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,0,1
style.css,228,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,1,25
style.css,229,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,0,0
style.css,230,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,0,0
style.css,231,css,39933b3e,dallasplunkett,2025-01-30,16:31:17,-08:00,2025-01-30T16:31:17-08:00,0,12
style.css,232,css,39933b3e,dallasplunkett,2025-01-30,16:31:17,-08:00,2025-01-30T16:31:17-08:00,0,0
style.css,233,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,0,0
style.css,234,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,1,11
style.css,235,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,0,0
style.css,236,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,0,0
style.css,237,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,0,0
style.css,238,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,1,11
style.css,239,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,0,0
style.css,240,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,0,0
style.css,241,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,0,0
style.css,242,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,1,13
style.css,243,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,0,0
style.css,244,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,0,0
style.css,245,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,0,0
style.css,246,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,1,11
style.css,247,css,33610443,dallasplunkett,2025-01-22,12:16:09,-08:00,2025-01-22T12:16:09-08:00,0,0
style.css,248,css,33610443,dallasplunkett,2025-01-22,12:16:09,-08:00,2025-01-22T12:16:09-08:00,0,0
style.css,249,css,33610443,dallasplunkett,2025-01-22,12:16:09,-08:00,2025-01-22T12:16:09-08:00,0,21
style.css,250,css,33610443,dallasplunkett,2025-01-22,12:16:09,-08:00,2025-01-22T12:16:09-08:00,0,0
style.css,251,css,33610443,dallasplunkett,2025-01-22,12:16:09,-08:00,2025-01-22T12:16:09-08:00,0,2
style.css,252,css,33610443,dallasplunkett,2025-01-22,12:16:09,-08:00,2025-01-22T12:16:09-08:00,1,15
style.css,253,css,33610443,dallasplunkett,2025-01-22,12:16:09,-08:00,2025-01-22T12:16:09-08:00,0,0
style.css,254,css,33610443,dallasplunkett,2025-01-22,12:16:09,-08:00,2025-01-22T12:16:09-08:00,0,0
